User,Type_Offline,Confidence_Offline,Events
306026185,Unknown,,1
AaryanMadal,Unknown,,1
Adeonita,Unknown,,1
AlexMitsis,Unknown,,2
AnnaSyme,Human,0.664,138
Astro-Kirsty,Human,0.818,300
AtreyeeS,Human,0.787,300
BobLamarley,Unknown,,1
BorisYourich,Unknown,,2
Bouatini,Unknown,,1
Cjadebadua117,Unknown,,1
CropGalaxy,Unknown,,3
Csaern,Human,0.332,8
DdaPhD,Unknown,,2
Delphine-L,Human,0.815,300
Edmontosaurus,Human,0.023,14
ElectronicBlueberry,Human,0.677,300
Fpinillaa,Unknown,,1
Gabriel-p,Human,0.931,26
GerritRo,Human,0.344,7
HealthyPear,Human,0.958,197
HelloYLee,Unknown,,3
JoseSerna-1308,Unknown,,1
KC-Lan,Human,0.747,7
LDeakin,Human,0.955,53
Lain-inrae,Human,0.804,23
MRegeard,Human,0.958,300
Marie59,Human,0.865,300
MaterialsGalaxy,Unknown,,2
MercierEva,Human,0.581,7
Mikehard4u2,Unknown,,1
Mitsunari-Takahashi,Unknown,,4
OliverWoolland,Human,0.679,6
OmarLaham,Unknown,,3
PSulf,Unknown,,3
PlushZ,Human,0.322,173
PreisTo,Unknown,,2
QRemy,Human,0.872,300
RBI-Bioinformatics,Unknown,,3
RamBenitez,Unknown,,1
Sch-Da,Human,0.823,24
ShubhamBioIT,Unknown,,1
SinaBerkGolech,Bot,0.12,5
Slushy-seg,Human,0.478,8
Songmg-Nwafu,Unknown,,1
StFroese,Human,0.932,135
Swathi266,Human,0.717,33
Tobiaspk,Unknown,,4
VascoSch92,Human,0.824,117
ViroFreiburg,Unknown,,1
Y-Srivaishnavi,Unknown,,1
Yin110,Unknown,,1
Younthing,Unknown,,4
aaguasca,Human,0.758,61
abretaud,Human,0.831,300
adonath,Human,0.93,300
afgane,Human,0.649,300
ahmedhamidawan,Human,0.699,300
alpapan,Human,0.824,87
andrea-stofko,Unknown,,1
ankitsrivastava637,Unknown,,2
annefou,Human,0.948,300
arash77,Human,0.948,206
arbernard,Unknown,,1
arceus3115,Unknown,,1
asa358asa,Unknown,,4
astrovsky01,Human,0.736,162
bai123350,Unknown,,1
balamuruganky,Unknown,,1
bebatut,Human,0.834,300
bernt-matthias,Human,0.762,300
bgruening,Human,0.771,300
bkhelifi,Human,0.849,300
bskubi,Human,0.684,9
bwalkowi,Human,0.673,17
bwlang,Bot,0.188,59
cat-bro,Human,0.675,300
cgalelli,Human,0.875,300
christopherLee1,Unknown,,1
civandeniz,Unknown,,1
coco-gene,Unknown,,1
codecov[bot],Bot,1.0,300
codingjenny,Unknown,,1
cuong0993,Unknown,,3
dannon,Human,0.735,300
dariadagdasza,Unknown,,1
davelopez,Human,0.807,300
davidjsherman,Unknown,,2
defaulter-0035,Unknown,,2
dependabot[bot],Bot,1.0,300
dometto,Human,0.825,34
drosofff,Human,0.605,24
dsavchenko,Human,0.833,12
echedey-ls,Human,0.931,15
edwinmckie,Unknown,,1
egeres,Human,0.758,9
elcharitas,Unknown,,1
elichad,Human,0.755,133
enolfc,Human,0.841,21
eshnd,Unknown,,1
fabiopintore,Human,0.729,275
facero,Human,0.848,120
fengxuedian,Unknown,,1
