User,Type_Offline,Confidence_Offline,Events
0Raghu,Unknown,,1
0Shark,Unknown,,1
306026185,Unknown,,1
AaryanMadal,Unknown,,1
Adeonita,Unknown,,1
AlexMitsis,Unknown,,2
AnnaSyme,Human,0.664,138
Areopaguaworkshop,Unknown,,4
ArminDashti,Unknown,,3
Aziuth,Bot,0.405,5
BenDavisson,Unknown,,2
BobLamarley,Unknown,,1
BorisYourich,Unknown,,2
Bouatini,Unknown,,1
CanftIn,Human,0.747,6
ChenPingChen,Unknown,,1
ChrisBSK,Unknown,,2
Cjadebadua117,Unknown,,1
Colladito,Unknown,,1
CropGalaxy,Unknown,,3
Csaern,Human,0.332,8
CulturesSupports,Unknown,,4
DanielTollenaar,Unknown,,2
Delphine-L,Human,0.815,300
Edmontosaurus,Human,0.023,14
EggBert001,Unknown,,2
ElectronicBlueberry,Human,0.677,300
Elypha,Unknown,,1
Fpinillaa,Unknown,,1
HelloYLee,Unknown,,3
J-D-S-E,Unknown,,3
Jade2290,Unknown,,2
JayHerpin,Unknown,,1
KC-Lan,Human,0.747,7
Korriliam,Unknown,,1
KycokOv4arku,Unknown,,1
LDeakin,Human,0.955,53
Lain-inrae,Human,0.804,23
LecanuetG,Unknown,,1
LiangDengPKU,Human,0.795,5
LiuguangLin0315,Unknown,,1
LustosaKev,Bot,0.015,5
LyndonAlcock,Human,0.627,7
MarcSkovMadsen,Human,0.821,300
MarcoGorelli,Human,0.909,300
Marie59,Human,0.865,300
MaterialsGalaxy,Unknown,,2
MatthewK78,Unknown,,2
MercierEva,Human,0.581,7
Mikehard4u2,Unknown,,1
MuratBedel,Unknown,,1
NWS99,Human,0.028,8
OliverWoolland,Human,0.679,6
OmarLaham,Unknown,,3
PSulf,Unknown,,3
Philliec459,Human,0.466,12
PlushZ,Human,0.322,173
PrateekArya,Human,0.011,6
Prof-pengyin,Unknown,,2
Programming2055,Human,0.902,6
RBI-Bioinformatics,Unknown,,3
RamBenitez,Unknown,,1
RealTanzie,Unknown,,1
Rryabkov,Unknown,,2
Saya47,Unknown,,4
Sch-Da,Human,0.823,24
ShubhamBioIT,Unknown,,1
SinaBerkGolech,Bot,0.12,5
Slushy-seg,Human,0.478,8
Songmg-Nwafu,Unknown,,1
Swathi266,Human,0.717,33
Tobiaspk,Unknown,,4
TrillionXwin,Unknown,,2
ViroFreiburg,Unknown,,1
Y-Srivaishnavi,Unknown,,1
YBeyond,Unknown,,1
Yin110,Unknown,,1
Younthing,Unknown,,4
YuriyGavrilov,Unknown,,1
abretaud,Human,0.831,300
adikte,Unknown,,4
afgane,Human,0.649,300
ahmadaballahcs,Unknown,,4
ahmedhamidawan,Human,0.699,300
alpapan,Human,0.824,87
andrea-stofko,Unknown,,1
anettkaac,Unknown,,1
ankitsrivastava637,Unknown,,2
annefou,Human,0.948,300
anzhizecheng,Unknown,,1
aquarhead,Unknown,,1
arash77,Human,0.948,206
arbernard,Unknown,,1
arceus3115,Unknown,,1
arroyo-pl,Unknown,,1
asa358asa,Unknown,,4
asmdhabibullah,Unknown,,1
astrovsky01,Human,0.736,162
axchcxj,Unknown,,2
bai123350,Unknown,,1
bebatut,Human,0.834,300
belohnung,Unknown,,1
bernt-matthias,Human,0.762,300
bgruening,Human,0.771,300
bintangyosua,Unknown,,1
bjarthur,Human,0.898,102
bjfar,Human,0.157,9
bjoernellens1,Unknown,,2
blaylockbk,Human,0.949,109
bryant0000,Unknown,,1
bryevdv,Human,0.849,300
bskubi,Human,0.684,9
bwalkowi,Human,0.673,17
bwlang,Bot,0.188,59
cat-bro,Human,0.675,300
celestewallace-cdc,Unknown,,2
christopherLee1,Unknown,,1
civandeniz,Unknown,,1
coco-gene,Unknown,,1
codecov[bot],Bot,1.0,300
codingjenny,Unknown,,1
cuong0993,Unknown,,3
cvaske,Unknown,,1
daghty,Unknown,,1
danielcocco,Unknown,,1
danieluxury88,Unknown,,1
dannon,Human,0.735,300
davelopez,Human,0.807,300
davidjsherman,Unknown,,2
deedee,Unknown,,1
defaulter-0035,Unknown,,2
dependabot[bot],Bot,1.0,300
dometto,Human,0.825,34
doorlay,Unknown,,1
drosofff,Human,0.605,24
dsavchenko,Human,0.833,12
dslj2017,Unknown,,3
elcharitas,Unknown,,1
elichad,Human,0.755,133
enolfc,Human,0.841,21
epifanio,Human,0.584,23
eselownore,Unknown,,1
eshnd,Unknown,,1
fengxuedian,Unknown,,1
francoismg,Bot,0.291,18
fubar2,Human,0.834,300
gabalafou,Human,0.948,300
galaxybot,Bot,0.908,103
galaxyproject-sentryintegration[bot],Bot,1.0,95
gecage952,Human,0.635,30
gerred,Unknown,,2
github-actions[bot],Bot,1.0,300
github-advanced-security[bot],Bot,1.0,300
github-roushan,Unknown,,1
goshng,Unknown,,1
gredin,Unknown,,3
guerler,Human,0.843,300
hechth,Human,0.917,300
hellokid200,Unknown,,1
henricryden,Unknown,,4
hexylena,Human,0.473,300
hoxbro,Human,0.93,300
hujambo-dunia,Human,0.729,300
ianthomas23,Human,0.954,300
idimetrix,Human,0.04,21
ignhs,Human,0.512,6
imjiaoyuan,Unknown,,1
introquest,Unknown,,4
isemennikov,Unknown,,1
itisAliRH,Human,0.679,300
jamestiotio,Human,0.912,42
javier,Unknown,,2
jbednar,Human,0.951,300
jdavcs,Human,0.759,300
jennaj,Human,0.809,300
jesanwang,Unknown,,1
jichanghe,Unknown,,1
jinysd,Unknown,,2
jlevy,Unknown,,2
jmchilton,Human,0.612,300
joolstorrentecalo,Bot,0.173,6
justapythonuser,Unknown,,1
jvwilliams23,Unknown,,3
jwmosley,Unknown,,3
khoroshevskyi,Human,0.89,27
kitoki,Human,0.631,9
kostrykin,Human,0.949,199
ksuderman,Human,0.851,300
kunrey,Unknown,,1
kunzi051,Unknown,,1
kylessmith,Unknown,,3
kysrpex,Human,0.778,300
laperlej,Human,0.816,14
lemongine,Unknown,,1
levsa,Unknown,,4
lindenb,Unknown,,2
ljocha,Unknown,,4
lldelisle,Human,0.779,300
luizhslima,Human,0.712,10
lybCNU,Human,0.694,11
maartenschermer,Unknown,,2
makeroftools,Unknown,,1
makutamoto,Unknown,,4
malekifar,Unknown,,2
manabuishii,Unknown,,2
mapk-amazon,Human,0.765,37
martenson,Human,0.8,300
mattpap,Human,0.896,300
maximlt,Human,0.963,300
mcuaya1,Bot,0.002,5
mdaguete,Unknown,,1
minhaz-mishu,Unknown,,4
mira-miracoli,Human,0.831,300
mkellom,Bot,0.438,6
mljack,Unknown,,2
moclam1905,Unknown,,1
mosc9575,Human,0.934,300
mpalmada,Human,0.701,6
mr-c,Human,0.942,300
msscaroso,Unknown,,1
mtwilliams,Unknown,,4
mugiseyebrows,Unknown,,2
mvdbeek,Human,0.833,300
naonao-cola,Unknown,,1
natefoo,Human,0.732,300
nawedy,Unknown,,2
nekrut,Human,0.821,300
neoformit,Human,0.777,300
nilchia,Human,0.862,263
nohjoono,Unknown,,1
nomadscientist,Human,0.769,300
noostale,Unknown,,4
nphuhuy,Unknown,,2
npinter,Human,0.689,13
nsoranzo,Human,0.821,300
nuwang,Human,0.782,300
omidgolchin,Unknown,,1
partrita,Human,0.916,11
patrick-austin,Human,0.741,53
patrickjwright,Human,0.866,13
pauldg,Human,0.539,40
paulocilasjr,Human,0.375,54
paulzierep,Human,0.869,300
pavanvidem,Human,0.787,300
pavelvazquez,Unknown,,1
pdao1,Human,0.747,6
peekxc,Human,0.819,17
pelaufer,Unknown,,1
pvanheus,Human,0.866,276
python-foundations-2024,Unknown,,3
pythoninthegrass,Human,0.911,7
qchiujunhao,Human,0.564,14
rajkaran27,Unknown,,1
rasulkipkeev,Unknown,,4
remyd1,Unknown,,1
reprtomg,Unknown,,1
reytakop,Human,0.223,18
ricfog,Unknown,,1
richard-burhans,Human,0.904,300
richard7714,Unknown,,1
sam-dot-data,Unknown,,1
sanjaysrikakulam,Human,0.731,225
sblondon,Human,0.359,5
scipio0bc,Unknown,,1
scwayer,Unknown,,1
seanwhen,Unknown,,1
sebacastroh,Human,0.02,7
sharikjavid,Unknown,,1
shenweiyan,Human,0.714,6
sjtutim,Unknown,,1
slochower,Human,0.906,7
someben,Unknown,,1
ssjt21,Unknown,,1
stain,Human,0.632,36
studyingis,Unknown,,1
suimohan,Unknown,,3
sumanshusamarora,Unknown,,3
sunxiaoxiaou,Unknown,,1
tStehling,Human,0.715,14
tashfia-shoron,Unknown,,2
thechis,Unknown,,2
tinegachris,Unknown,,1
tlemo,Unknown,,1
tonystark2306,Unknown,,1
twpony,Unknown,,1
userrkh,Human,0.816,10
vladvisan,Human,0.566,73
volodymyrss,Human,0.954,163
wandou1994,Unknown,,3
whaletail,Bot,0.823,57
willi-kappler,Human,0.802,9
winstxnhdw,Unknown,,2
wm75,Human,0.779,300
wuwenjie1992,Bot,0.345,42
xinnjie,Unknown,,1
xuan-lab,Unknown,,2
yaohuan23,Unknown,,2
ygxxii,Unknown,,4
yvanlebras,Human,0.79,300
zhengdianke,Unknown,,1
zhubby,Unknown,,2
