User,Type_Offline,Confidence_Offline,Events
Abhisek-exe,Unknown,,1
Abhishek-Mishra-GH,Unknown,,1
Abinash-bit,Human,0.882,93
AdamPSU,Unknown,,2
Akash265,Unknown,,4
AlexanderGrunewald,Unknown,,3
Astro-Kirsty,Human,0.818,300
AtreyeeS,Human,0.787,300
CePowers,Human,0.439,30
DavidGeorge-github,Unknown,,1
DdaPhD,Unknown,,2
DeerWhale,Human,0.771,252
Gabriel-p,Human,0.931,26
GerritRo,Human,0.344,7
HealthyPear,Human,0.958,197
Her00000,Unknown,,1
JoseSerna-1308,Unknown,,1
KasukabeDefenceForce,Human,0.623,300
Knights-Templars,Human,0.9,300
Lakshchouhan,Unknown,,1
MRegeard,Human,0.958,300
MS-githubaccnt,Unknown,,1
MarkMageeAstro,Bot,0.305,82
Mitsunari-Takahashi,Unknown,,4
NishthaSharma-22,Unknown,,1
PreisTo,Unknown,,2
QRemy,Human,0.872,300
RyanGroneck,Human,0.128,21
StFroese,Human,0.932,135
Sumit112192,Human,0.894,300
Tanuj-rai,Human,0.885,12
VascoSch92,Human,0.824,117
Vatsal212005,Unknown,,1
VectorNd,Human,0.931,14
aaguasca,Human,0.758,61
abunickabhi,Human,0.717,6
adonath,Human,0.93,300
andrewfullard,Human,0.847,300
atharva-2001,Human,0.785,300
atrayees,Human,0.762,8
balamuruganky,Unknown,,1
bkhelifi,Human,0.849,300
cgalelli,Human,0.875,300
codecov[bot],Bot,1.0,300
dariadagdasza,Unknown,,1
dependabot[bot],Bot,1.0,300
echedey-ls,Human,0.931,15
edwinmckie,Unknown,,1
egeres,Human,0.758,9
epassaro,Human,0.931,300
fabiopintore,Human,0.729,275
facero,Human,0.848,120
gabemery,Human,0.015,50
github-actions[bot],Bot,1.0,300
jaladh-singhal,Human,0.934,199
jamesgillanders,Human,0.886,102
jvshields,Human,0.867,300
k-egg,Human,0.444,10
lattaai5,Unknown,,3
lmohrmann,Bot,0.06,29
loghub11,Unknown,,1
luiskba40,Unknown,,1
lumberbot-app[bot],Bot,1.0,300
maxnoe,Human,0.949,300
meeseeksmachine,Bot,0.93,300
mholler86,Unknown,,2
miles246,Unknown,,1
mireianievas,Human,0.26,64
morcuended,Human,0.949,210
officialasishkumar,Human,0.943,150
omooon,Unknown,,1
pichardp,Unknown,,1
registerrier,Human,0.944,300
review-notebook-app[bot],Bot,1.0,300
rudrakshnalbalwar,Human,0.897,42
sanvila,Unknown,,4
sarthak-dv,Human,0.756,80
stahanna,Human,0.02,32
tardis-bot,Bot,0.814,300
tunbehaun273,Human,0.834,82
vuillaut,Human,0.915,82
wkerzendorf,Human,0.682,300
wtbarnes,Human,0.824,300
yuyannlin,Unknown,,1
zhangcaocao,Unknown,,1
zhouconghao,Human,0.921,13
