User,Type_Offline,Confidence_Offline,Events
Abhinav06052002,Unknown,,3
Afaraster,Unknown,,4
AnshMehta1,Human,0.532,207
Astro-Kirsty,Human,0.818,300
AtreyeeS,Human,0.787,300
Ayush-Devs,Unknown,,2
Beliavsky,Human,0.911,128
CasparJungbacker,Unknown,,4
ChunkyPanda03,Human,0.097,12
ConservedCharge,Unknown,,4
DdaPhD,Unknown,,2
Gabriel-p,Human,0.931,26
Gauss963,Unknown,,1
GerritRo,Human,0.344,7
HarshitaKalani,Human,0.561,300
HarshitaKalani-WBD,Bot,0.073,5
HealthyPear,Human,0.958,197
Hezzeki,Unknown,,2
JamesZhanchunyuan,Unknown,,1
JonasKoziorek,Human,0.344,11
JoseSerna-1308,Unknown,,1
Komal0103,Unknown,,2
Larshavin,Unknown,,1
LinkJam0,Unknown,,2
Liuyaguangzz,Unknown,,1
MRegeard,Human,0.958,300
MetzgerHund,Unknown,,4
Mitsunari-Takahashi,Unknown,,4
MosGeo,Human,0.932,75
NishantBansal2003,Human,0.889,124
PierUgit,Human,0.845,23
Pleiades777,Unknown,,4
Pranavchiku,Human,0.668,300
Pranavchikuwbd,Unknown,,1
PreisTo,Unknown,,2
QRemy,Human,0.872,300
RMeli,Human,0.954,300
SalvadorBrandolin,Human,0.304,12
Sbai7,Unknown,,2
Shad0wRim,Unknown,,2
Shaikh-Ubaid,Human,0.936,300
StFroese,Human,0.932,135
StillAbeginnerr,Unknown,,1
Thirumalai-Shaktivel,Human,0.729,300
VascoSch92,Human,0.824,117
Vipul-Cariappa,Human,0.916,55
Wu-Kuan-Yee,Unknown,,1
ZedThree,Human,0.901,58
Zrief,Unknown,,1
aaguasca,Human,0.758,61
adit4443ya,Human,0.632,135
adonath,Human,0.93,300
advikkabra,Human,0.374,100
aelobdog,Unknown,,2
altersabeh,Unknown,,1
anutosh491,Human,0.955,300
aradi,Human,0.895,275
assem2002,Human,0.885,300
balamuruganky,Unknown,,1
bkhelifi,Human,0.849,300
captainhaddock18,Human,0.949,22
certik,Human,0.679,300
cgalelli,Human,0.875,300
codecov[bot],Bot,1.0,300
cycledetector,Unknown,,2
czgdp1807,Human,0.924,300
dariadagdasza,Unknown,,1
davidpfister,Human,0.621,17
dependabot[bot],Bot,1.0,300
dushibaiyu,Unknown,,1
dylon,Human,0.962,229
echedey-ls,Human,0.931,15
eckertliam,Unknown,,2
edwinmckie,Unknown,,1
efsalvarenga,Unknown,,1
egeres,Human,0.758,9
ettaka,Human,0.446,21
fabiopintore,Human,0.729,275
facero,Human,0.848,120
gabemery,Human,0.015,50
github-actions[bot],Bot,1.0,300
gsal,Bot,0.868,10
gxyd,Human,0.773,300
harperjf,Bot,0.891,176
hkershaw-brown,Unknown,,2
ivan-pi,Human,0.938,300
jinangshah21,Human,0.19,268
jjerphan,Human,0.934,300
joergschultzelutter,Unknown,,1
junghans,Human,0.964,300
k-egg,Human,0.444,10
kargl,Human,0.523,90
kinow,Human,0.915,103
kmr-srbh,Human,0.559,300
kp992,Human,0.898,300
kvrigor,Unknown,,1
l-mh-95,Unknown,,1
lattaai5,Unknown,,3
lizhaoguosina,Unknown,,1
lmohrmann,Bot,0.06,29
luiskba40,Unknown,,1
lumberbot-app[bot],Bot,1.0,300
marcosgambeta,Unknown,,1
markbhasawut,Unknown,,1
maxnoe,Human,0.949,300
meeseeksmachine,Bot,0.93,300
mholler86,Unknown,,2
milancurcic,Human,0.958,300
mireianievas,Human,0.26,64
mo-benjaminevans,Human,0.441,5
mohitdhingra22,Human,0.741,29
morcuended,Human,0.949,210
moriglia,Human,0.876,15
mottelet,Human,0.911,44
nedtaylor,Human,0.758,33
nickodell,Human,0.924,220
nikic,Unknown,,2
omooon,Unknown,,1
ouankou,Unknown,,4
parth121101,Human,0.438,300
parthlambdatest,Unknown,,1
pichardp,Unknown,,1
pjh40,Human,0.559,96
prismv,Unknown,,4
quepas,Unknown,,2
radesh20,Unknown,,4
registerrier,Human,0.944,300
review-notebook-app[bot],Bot,1.0,300
rikardn,Human,0.771,59
saguileran,Human,0.692,12
sanvila,Unknown,,4
saurabh7307,Unknown,,1
sherlockyzd,Unknown,,1
simisc,Unknown,,1
soma2000-lang,Human,0.581,300
sriganeshres,Unknown,,1
stahanna,Human,0.02,32
sumseq,Human,0.795,9
tanay-man,Human,0.574,38
thoth291,Human,0.915,8
tunbehaun273,Human,0.834,82
uranix,Human,0.604,5
uwydoc,Unknown,,1
veegeebree21,Bot,0.16,20
vuillaut,Human,0.915,82
wittler-github,Unknown,,2
xichaoqiang,Bot,0.622,23
yuyannlin,Unknown,,1
zhangcaocao,Unknown,,1
zhouconghao,Human,0.921,13
