User,Type_Offline,Confidence_Offline,Events
01PrathamS,Unknown,,1
0Z17,Unknown,,1
0x-CHUN,Unknown,,2
0xGeorgeTorres,Unknown,,1
0xjavad,Unknown,,1
10-zin,Unknown,,1
112523chen,Unknown,,3
124451,Unknown,,1
1311440131,Unknown,,3
1696012928,Unknown,,1
1adetbeyfendi,Unknown,,2
1dagord,Unknown,,1
1oop,Unknown,,1
2niuhe,Human,0.795,5
34j,Human,0.892,11
3asyAiden,Unknown,,2
42dot-heeyeon-cho,Unknown,,1
46729,Unknown,,1
521xueweihan,Unknown,,1
5453fgjmdfk,Unknown,,1
5ky9uy,Human,0.215,53
686llhhhhhh,Unknown,,1
986023997,Unknown,,1
A1B3rrt,Unknown,,1
ABitCraz,Unknown,,1
ALMLK-1996,Unknown,,1
Aangh26,Unknown,,1
Aatrick,Unknown,,1
AbdulBasit-AB03,Unknown,,1
Abgael,Unknown,,1
Ack-Mox,Unknown,,3
AdolphWilliam,Unknown,,1
AdrianAbeyta,Human,0.618,18
Ahdhn,Unknown,,3
AhmedAlfahdi,Unknown,,2
Aidan-Hamilton,Unknown,,1
AlArgente,Unknown,,2
AlbertFX91,Unknown,,1
Altares,Unknown,,1
AltayYuzeir,Human,0.747,8
AndrewHYi,Unknown,,1
AndrewNg,Unknown,,1
AndyZhu1991,Unknown,,1
AngusWG,Unknown,,1
AnonymousPlayer2000,Bot,0.118,18
AnonymousResearcher2000,Unknown,,1
AnthonyPerrett,Human,0.747,6
AriESQ,Human,0.747,6
Arniiiii,Unknown,,1
ArtemF42,Unknown,,1
ArthurAsenheimer,Human,0.733,19
ArthurWangNet,Unknown,,1
Artur-Daveian,Unknown,,1
ArturF3lip3,Unknown,,1
ArvinKing77,Unknown,,1
AsesinoBlade,Unknown,,1
AshecOne,Unknown,,1
Atlaszyw,Unknown,,1
Awei1729,Unknown,,1
BHold-MJ,Unknown,,1
BJ4K3,Unknown,,2
BTruer,Unknown,,1
BZBY,Unknown,,1
Bakhtiyar-Garashov,Unknown,,3
Banguiskode,Human,0.747,6
Barahlush,Unknown,,1
Bardreamaster,Unknown,,2
Beslan09,Human,0.526,8
BillDo,Unknown,,2
BinarySyntax,Unknown,,1
BlaDeKe,Unknown,,1
BlazionYou,Bot,0.08,5
BlueSharkPartners,Unknown,,4
Bondrake,Unknown,,1
BranmericanExpress,Unknown,,1
BrennonTWilliams,Unknown,,2
BrownsugarZeer,Unknown,,2
BrunoCiccarino,Human,0.651,5
BrunoGeorgevich,Unknown,,4
CKylinMC,Unknown,,1
Cadair,Human,0.883,300
Caffrey-Chen,Human,0.795,5
CanftIn,Human,0.747,6
Carl-haijiao,Unknown,,1
CeeArEx,Unknown,,1
CelestialCoder03,Unknown,,2
CfKu,Unknown,,1
CharacterM,Unknown,,1
Charliesj0129,Unknown,,1
Chris-Fourie,Unknown,,1
Christoph9211,Unknown,,1
Ciroma90,Unknown,,1
CloudyDory,Unknown,,1
Clovermax,Unknown,,1
Coagudream,Unknown,,1
Cobbyzhang,Unknown,,1
Code002Lover,Unknown,,1
ComicAddict,Unknown,,1
Conchobhar42,Unknown,,1
ConradKilroy,Unknown,,1
Cppowboy,Unknown,,2
CrashBandicooch,Unknown,,2
Cutie-pie0561,Unknown,,2
CyclingNinja,Human,0.75,226
DINDO-123,Unknown,,2
DMRoberts,Unknown,,1
DeluxeOwl,Human,0.795,5
DenKorn,Unknown,,1
Dengjianping,Unknown,,1
DenisBobrovskiy,Unknown,,1
Detailscool,Unknown,,2
Detet,Unknown,,1
Dg0230,Unknown,,1
DhruvR-16,Unknown,,1
Dhyan327,Unknown,,1
DiBop,Unknown,,1
DieProgrammIDE,Unknown,,1
DiegoLopezInc,Unknown,,1
Divelix,Unknown,,1
Dodecahedrane,Unknown,,2
DodgertheGray,Human,0.773,6
Dominik1123,Human,0.925,8
Donny-GUI,Unknown,,3
DrAlexLiu,Unknown,,3
EarlMilktea,Human,0.9,109
EconoBen,Unknown,,1
Egoist-debug,Unknown,,2
EleonF,Unknown,,1
ElieAntoine,Unknown,,2
ElmiraGhorbani,Unknown,,2
EruditePanda,Unknown,,2
Ethan2018,Unknown,,1
Eylul209,Unknown,,1
FYYHU,Unknown,,1
FairyOwO,Unknown,,1
Fallin-jie,Unknown,,1
FatemehTarashi,Unknown,,3
Fausi89,Unknown,,1
Fazyl03,Unknown,,2
Felipe-gsilva,Unknown,,1
FemiSphere,Unknown,,1
FermiQ,Human,0.662,25
Fire-,Unknown,,2
FisherKKK,Unknown,,2
FlaHhArroW,Unknown,,1
Flechen,Unknown,,1
FleetingEcho,Human,0.795,5
FlorentCLMichel,Human,0.261,10
Forger125,Unknown,,1
Fr0z9,Unknown,,1
Frankystew1,Unknown,,1
FredericJacobs,Unknown,,1
FunctionalPerformanceSystems,Unknown,,1
GF-Huang,Human,0.808,22
GR-Menon,Unknown,,1
GaBaioni,Unknown,,1
GaMeRaM,Unknown,,1
Gebreselema-source,Bot,0.201,8
GeonMoo,Human,0.747,8
GillySpace27,Human,0.627,119
GiorgosChr,Unknown,,3
GodStick233,Unknown,,1
Goldmann1995,Unknown,,1
Gr3Kidd3r,Human,0.747,6
Grogros4,Unknown,,1
GuotongWu,Unknown,,1
HAOzichang,Unknown,,1
HFC666,Unknown,,3
HaHeho,Unknown,,3
Hammerous,Unknown,,2
Hao-RWTHAachen,Unknown,,2
Hapsa21,Unknown,,1
Harry1993,Unknown,,1
HarshilShah1804,Human,0.854,49
Hearthi,Unknown,,1
HeorhiiS,Unknown,,2
HoangTran0410,Unknown,,1
HuronExplodium,Unknown,,1
Hyprnx,Unknown,,4
IceblueSakura,Unknown,,1
Idody5583,Unknown,,1
IlGuru,Unknown,,1
IlhamriSKY,Unknown,,2
IlyushinSukhoi,Unknown,,1
ImanSMD,Unknown,,1
IndieMinimalist,Unknown,,3
IsmaelMousa,Unknown,,1
IvaTutis,Unknown,,1
Ivan-Tang-3D,Unknown,,1
JChew7568,Unknown,,1
JPXIII,Unknown,,1
JPotrykus,Unknown,,2
JXH-666,Unknown,,1
