User,Type_Offline,Confidence_Offline,Events
Abhinav06052002,Unknown,,3
Afaraster,Unknown,,4
Afffaa,Human,0.437,5
Akshit222,Unknown,,4
Andrij339,Unknown,,1
AnshMehta1,Human,0.532,207
Ayush-Devs,Unknown,,2
Beliavsky,Human,0.911,128
Bunnie04,Unknown,,1
CasparJungbacker,Unknown,,4
ChunkyPanda03,Human,0.097,12
ConservedCharge,Unknown,,4
Fe-r-oz,Bot,0.096,8
Gauss963,Unknown,,1
GermanHeim,Human,0.774,12
Gesugao-san,Unknown,,3
HarshitaKalani,Human,0.561,300
HarshitaKalani-WBD,Bot,0.073,5
HaveF,Human,0.721,11
Hezzeki,Unknown,,2
JamesZhanchunyuan,Unknown,,1
JonasKoziorek,Human,0.344,11
JulStraus,Unknown,,3
JuliaRegistrator,Bot,0.885,300
JuliaTagBot,Bot,0.915,300
Komal0103,Unknown,,2
Larshavin,Unknown,,1
LinkJam0,Unknown,,2
Liuyaguangzz,Unknown,,1
MRuzzante,Unknown,,3
MetzgerHund,Unknown,,4
MosGeo,Human,0.932,75
NishantBansal2003,Human,0.889,124
PierUgit,Human,0.845,23
Pleiades777,Unknown,,4
Pranavchiku,Human,0.668,300
Pranavchikuwbd,Unknown,,1
QuantPaul,Human,0.784,16
RMeli,Human,0.954,300
Randomssss,Unknown,,2
Riperedo,Unknown,,2
Robbybp,Human,0.841,38
RookieRQ,Unknown,,2
SalvadorBrandolin,Human,0.304,12
Sbai7,Unknown,,2
SendPiePlz,Unknown,,4
Shad0wRim,Unknown,,2
Shaikh-Ubaid,Human,0.936,300
Spaaace-Ghooost,Human,0.801,9
StillAbeginnerr,Unknown,,1
ThatXliner,Human,0.912,8
Thirumalai-Shaktivel,Human,0.729,300
Vipul-Cariappa,Human,0.916,55
Wu-Kuan-Yee,Unknown,,1
ZJY0516,Unknown,,2
ZedThree,Human,0.901,58
Zrief,Unknown,,1
adammoore552,Unknown,,1
adit4443ya,Human,0.632,135
adr-denzel,Human,0.849,11
advikkabra,Human,0.374,100
aelobdog,Unknown,,2
altersabeh,Unknown,,1
anutosh491,Human,0.955,300
aradi,Human,0.895,275
araujoms,Human,0.903,300
assem2002,Human,0.885,300
blegat,Human,0.855,300
captainhaddock18,Human,0.949,22
catherine4331,Unknown,,1
certik,Human,0.679,300
codecov[bot],Bot,1.0,300
csamuelsm,Unknown,,1
cycledetector,Unknown,,2
czgdp1807,Human,0.924,300
datejada,Human,0.94,33
davidpfister,Human,0.621,17
db-eppei-2018,Unknown,,1
dcelisgarza,Unknown,,2
dependabot[bot],Bot,1.0,300
dkapt,Bot,0.11,63
dong123-wang,Unknown,,1
dushibaiyu,Unknown,,1
dylon,Human,0.962,229
eckertliam,Unknown,,2
efsalvarenga,Unknown,,1
enprop,Human,0.58,11
ericklima-ca,Unknown,,1
ettaka,Human,0.446,21
fadihamad94,Bot,0.442,5
flexagoon,Unknown,,2
frjnn,Unknown,,4
gdalle,Human,0.955,300
github-actions[bot],Bot,1.0,300
gsal,Bot,0.868,10
gxyd,Human,0.773,300
haansn08,Unknown,,1
harperjf,Bot,0.891,176
hkershaw-brown,Unknown,,2
hsty7,Unknown,,1
ivan-pi,Human,0.938,300
janneshb,Unknown,,2
jarriagadat,Human,0.795,5
jbcaillau,Human,0.853,14
jd-foster,Human,0.924,300
jd-lara,Human,0.902,124
jinangshah21,Human,0.19,268
jjerphan,Human,0.934,300
joaquimg,Human,0.787,300
joergschultzelutter,Unknown,,1
juan15377,Unknown,,4
juanjospina,Unknown,,2
junghans,Human,0.964,300
kands-code,Human,0.296,14
kargl,Human,0.523,90
kinow,Human,0.915,103
kmr-srbh,Human,0.559,300
kp992,Human,0.898,300
kvrigor,Unknown,,1
l-mh-95,Unknown,,1
langestefan,Human,0.948,35
lizhaoguosina,Unknown,,1
llkvini,Human,0.773,7
lukemiloszewski,Human,0.747,7
m3ai,Unknown,,1
marcosgambeta,Unknown,,1
markbhasawut,Unknown,,1
matbesancon,Human,0.947,300
milancurcic,Human,0.958,300
mitchphillipson,Bot,0.104,20
mlubin,Human,0.789,300
mo-benjaminevans,Human,0.441,5
mohitdhingra22,Human,0.741,29
moriglia,Human,0.876,15
mottelet,Human,0.911,44
my-cengstud,Unknown,,2
n8xm,Human,0.574,9
nedtaylor,Human,0.758,33
nickodell,Human,0.924,220
nikic,Unknown,,2
odow,Human,0.774,300
ouankou,Unknown,,4
papdim,Unknown,,2
parth121101,Human,0.438,300
parthlambdatest,Unknown,,1
pjh40,Human,0.559,96
plover0226,Bot,0.52,44
prismv,Unknown,,4
pytsacjofxaBno,Unknown,,3
quepas,Unknown,,2
radesh20,Unknown,,4
rikardn,Human,0.771,59
roryyarr,Unknown,,4
saguileran,Human,0.692,12
saurabh7307,Unknown,,1
sesveti,Unknown,,1
sherlockyzd,Unknown,,1
shuohaopolyu,Human,0.76,5
simisc,Unknown,,1
soma2000-lang,Human,0.581,300
songroom2016,Unknown,,2
sriganeshres,Unknown,,1
sstroemer,Human,0.771,37
sumseq,Human,0.795,9
takeuchi5512,Unknown,,3
tanay-man,Human,0.574,38
tarithj,Unknown,,2
thoth291,Human,0.915,8
tj-amano,Unknown,,1
trathi05,Human,0.527,12
uranix,Human,0.604,5
uwydoc,Unknown,,1
veegeebree21,Bot,0.16,20
wittler-github,Unknown,,2
wsmoses,Human,0.871,300
xichaoqiang,Bot,0.622,23
yrbnr7034,Unknown,,1
zelenkastiot,Human,0.598,19
zinccat,Human,0.795,5
zyk1999,Unknown,,1
