User,Type_Offline,Confidence_Offline,Events
Astro-Kirsty,Human,0.818,300
AtreyeeS,Human,0.787,300
Cadair,Human,0.883,300
CyclingNinja,Human,0.75,226
DdaPhD,Unknown,,2
DhruvR-16,Unknown,,1
Gabriel-p,Human,0.931,26
GerritRo,Human,0.344,7
GillySpace27,Human,0.627,119
HealthyPear,Human,0.958,197
JoseSerna-1308,Unknown,,1
MRegeard,Human,0.958,300
MatteoRaso,Human,0.931,300
Mitsunari-Takahashi,Unknown,,4
Mubin17,Human,0.926,82
NickShargan,Unknown,,3
PavanMutyla,Unknown,,2
PreisTo,Unknown,,2
Prtm2110,Human,0.944,195
QRemy,Human,0.872,300
Rachit23110261,Human,0.8,13
Sauravroy34,Human,0.887,145
SolarDrew,Human,0.926,73
StFroese,Human,0.932,135
VascoSch92,Human,0.824,117
Viicos,Unknown,,2
ZeyuSun,Unknown,,1
aDNAn-itis,Unknown,,1
aaahza,Unknown,,3
aaguasca,Human,0.758,61
ablazejuk,Unknown,,1
aditya-mathpal,Unknown,,1
adonath,Human,0.93,300
advait-zx,Human,0.904,87
ahmedMhassan10,Unknown,,4
ahmvdev,Human,0.648,16
alasdairwilson,Human,0.898,300
audiofacto,Unknown,,1
ayshih,Human,0.85,300
balamuruganky,Unknown,,1
bkhelifi,Human,0.849,300
bnavigator,Human,0.938,300
cgalelli,Human,0.875,300
codecov[bot],Bot,1.0,300
dariadagdasza,Unknown,,1
dbarrous,Unknown,,3
dependabot[bot],Bot,1.0,300
dpshelio,Human,0.838,33
dsreeramya,Unknown,,1
dstansby,Human,0.962,300
echedey-ls,Human,0.931,15
edwinmckie,Unknown,,1
egeres,Human,0.758,9
esdcheliodevops,Human,0.698,5
exitflynn,Human,0.917,235
fabiopintore,Human,0.729,275
facero,Human,0.848,120
gabemery,Human,0.015,50
github-actions[bot],Bot,1.0,300
hayesla,Human,0.908,300
hmathwig,Unknown,,1
jgieseler,Human,0.901,231
jshn9515,Human,0.635,26
k-egg,Human,0.444,10
kartikmandar,Human,0.915,9
keremates54,Unknown,,1
lattaai5,Unknown,,3
lmohrmann,Bot,0.06,29
luiskba40,Unknown,,1
lumberbot-app[bot],Bot,1.0,300
maxnoe,Human,0.949,300
meeseeksmachine,Bot,0.93,300
mholler86,Unknown,,2
mireianievas,Human,0.26,64
morcuended,Human,0.949,210
nabobalis,Human,0.729,300
namurphy,Human,0.948,267
omooon,Unknown,,1
pichardp,Unknown,,1
pllim,Human,0.85,300
raghav20232023,Human,0.04,99
registerrier,Human,0.944,300
review-notebook-app[bot],Bot,1.0,300
rudrakshnalbalwar,Human,0.897,42
samaloney,Human,0.913,300
sanvila,Unknown,,4
specificuniverse,Unknown,,1
stahanna,Human,0.02,32
summerclock,Human,0.758,9
tien-vo,Human,0.822,28
toni-santos,Unknown,,1
tunbehaun273,Human,0.834,82
vuillaut,Human,0.915,82
wafels,Human,0.851,59
wmoapl,Bot,0.311,22
wtbarnes,Human,0.824,300
yuyannlin,Unknown,,1
zhangcaocao,Unknown,,1
zhouconghao,Human,0.921,13
