User,Type_Offline,Confidence_Offline,Events
Afffaa,Human,0.437,5
Akshit222,Unknown,,4
Andrij339,Unknown,,1
Bunnie04,Unknown,,1
Cadair,Human,0.883,300
CyclingNinja,Human,0.75,226
DhruvR-16,Unknown,,1
Fe-r-oz,Bot,0.096,8
GermanHeim,Human,0.774,12
Gesugao-san,Unknown,,3
GillySpace27,Human,0.627,119
HaveF,Human,0.721,11
JulStraus,Unknown,,3
JuliaRegistrator,Bot,0.885,300
JuliaTagBot,Bot,0.915,300
MRegeard,Human,0.958,300
MRuzzante,Unknown,,3
MatteoRaso,Human,0.931,300
Mubin17,Human,0.926,82
NickShargan,Unknown,,3
PavanMutyla,Unknown,,2
Prtm2110,Human,0.944,195
QuantPaul,Human,0.784,16
Rachit23110261,Human,0.8,13
Randomssss,Unknown,,2
Riperedo,Unknown,,2
Robbybp,Human,0.841,38
RookieRQ,Unknown,,2
Sauravroy34,Human,0.887,145
SendPiePlz,Unknown,,4
SolarDrew,Human,0.926,73
Spaaace-Ghooost,Human,0.801,9
ThatXliner,Human,0.912,8
Viicos,Unknown,,2
ZJY0516,Unknown,,2
ZeyuSun,Unknown,,1
aDNAn-itis,Unknown,,1
aaahza,Unknown,,3
ablazejuk,Unknown,,1
adammoore552,Unknown,,1
aditya-mathpal,Unknown,,1
adr-denzel,Human,0.849,11
advait-zx,Human,0.904,87
ahmedMhassan10,Unknown,,4
ahmvdev,Human,0.648,16
alasdairwilson,Human,0.898,300
araujoms,Human,0.903,300
audiofacto,Unknown,,1
ayshih,Human,0.85,300
blegat,Human,0.855,300
bnavigator,Human,0.938,300
catherine4331,Unknown,,1
codecov[bot],Bot,1.0,300
csamuelsm,Unknown,,1
datejada,Human,0.94,33
db-eppei-2018,Unknown,,1
dbarrous,Unknown,,3
dcelisgarza,Unknown,,2
dkapt,Bot,0.11,63
dong123-wang,Unknown,,1
dpshelio,Human,0.838,33
dsreeramya,Unknown,,1
dstansby,Human,0.962,300
enprop,Human,0.58,11
ericklima-ca,Unknown,,1
esdcheliodevops,Human,0.698,5
exitflynn,Human,0.917,235
fadihamad94,Bot,0.442,5
flexagoon,Unknown,,2
frjnn,Unknown,,4
gdalle,Human,0.955,300
github-actions[bot],Bot,1.0,300
haansn08,Unknown,,1
hayesla,Human,0.908,300
hmathwig,Unknown,,1
hsty7,Unknown,,1
janneshb,Unknown,,2
jarriagadat,Human,0.795,5
jbcaillau,Human,0.853,14
jd-foster,Human,0.924,300
jd-lara,Human,0.902,124
jgieseler,Human,0.901,231
joaquimg,Human,0.787,300
jshn9515,Human,0.635,26
juan15377,Unknown,,4
juanjospina,Unknown,,2
kands-code,Human,0.296,14
kartikmandar,Human,0.915,9
keremates54,Unknown,,1
langestefan,Human,0.948,35
llkvini,Human,0.773,7
lukemiloszewski,Human,0.747,7
lumberbot-app[bot],Bot,1.0,300
m3ai,Unknown,,1
matbesancon,Human,0.947,300
meeseeksmachine,Bot,0.93,300
mitchphillipson,Bot,0.104,20
mlubin,Human,0.789,300
my-cengstud,Unknown,,2
n8xm,Human,0.574,9
nabobalis,Human,0.729,300
namurphy,Human,0.948,267
odow,Human,0.774,300
papdim,Unknown,,2
pllim,Human,0.85,300
plover0226,Bot,0.52,44
pytsacjofxaBno,Unknown,,3
raghav20232023,Human,0.04,99
roryyarr,Unknown,,4
rudrakshnalbalwar,Human,0.897,42
samaloney,Human,0.913,300
sesveti,Unknown,,1
shuohaopolyu,Human,0.76,5
songroom2016,Unknown,,2
specificuniverse,Unknown,,1
sstroemer,Human,0.771,37
summerclock,Human,0.758,9
takeuchi5512,Unknown,,3
tarithj,Unknown,,2
tien-vo,Human,0.822,28
tj-amano,Unknown,,1
toni-santos,Unknown,,1
trathi05,Human,0.527,12
veegeebree21,Bot,0.16,20
wafels,Human,0.851,59
wmoapl,Bot,0.311,22
wsmoses,Human,0.871,300
wtbarnes,Human,0.824,300
yrbnr7034,Unknown,,1
zelenkastiot,Human,0.598,19
zinccat,Human,0.795,5
zyk1999,Unknown,,1
