User,Type_Offline,Confidence_Offline,Events
000lbh,Unknown,,1
01PrathamS,Unknown,,1
0Z17,Unknown,,1
0kt1,Unknown,,1
0x-CHUN,Unknown,,2
0xGeorgeTorres,Unknown,,1
0xjavad,Unknown,,1
0xsmarter,Unknown,,1
10-zin,Unknown,,1
112523chen,Unknown,,3
124451,Unknown,,1
1311440131,Unknown,,3
1696012928,Unknown,,1
1adetbeyfendi,Unknown,,2
1dagord,Unknown,,1
1elmomento,Unknown,,1
1oop,Unknown,,1
1s22s1,Unknown,,4
2niuhe,Human,0.795,5
300f20t,Unknown,,1
34j,Human,0.892,11
3asyAiden,Unknown,,2
3zzazakl,Unknown,,2
42dot-heeyeon-cho,Unknown,,1
46729,Unknown,,1
521xueweihan,Unknown,,1
5453fgjmdfk,Unknown,,1
5ky9uy,Human,0.215,53
686llhhhhhh,Unknown,,1
986023997,Unknown,,1
A1B3rrt,Unknown,,1
ABitCraz,Unknown,,1
AIdjis,Human,0.795,5
ALMLK-1996,Unknown,,1
AR-SmartHelio,Human,0.758,10
Aangh26,Unknown,,1
Aatrick,Unknown,,1
AbdulBasit-AB03,Unknown,,1
Abgael,Unknown,,1
Abhishek2634,Unknown,,2
AcademicJuliaUser,Unknown,,3
Ack-Mox,Unknown,,3
ActionSafe,Unknown,,2
AdolphWilliam,Unknown,,1
AdrianAbeyta,Human,0.618,18
Ahdhn,Unknown,,3
AhmedAlfahdi,Unknown,,2
Aidan-Hamilton,Unknown,,1
Aikins-andy,Unknown,,1
AlArgente,Unknown,,2
AlbertFX91,Unknown,,1
AlexeyZayatc,Unknown,,1
Alf0nso,Unknown,,2
Altares,Unknown,,1
AltayYuzeir,Human,0.747,8
AmirrezaGhafoori,Unknown,,1
AmitavaDutta,Unknown,,1
AndrewHYi,Unknown,,1
AndrewNg,Unknown,,1
Andriamanitra,Unknown,,3
Andy-TAbs,Unknown,,1
AndyZhu1991,Unknown,,1
AngusWG,Unknown,,1
Annemarie-Karahure,Unknown,,1
AnonymousPlayer2000,Bot,0.118,18
AnonymousResearcher2000,Unknown,,1
AnsenIO,Unknown,,1
AnthonyPerrett,Human,0.747,6
AntiPhoton47,Human,0.965,37
AntyRukky02,Unknown,,1
AriESQ,Human,0.747,6
ArmanZarrin97,Human,0.118,7
Arniiiii,Unknown,,1
ArnoStrouwen,Human,0.764,300
ArtemF42,Unknown,,1
ArthurAsenheimer,Human,0.733,19
ArthurWangNet,Unknown,,1
Artur-Daveian,Unknown,,1
ArturF3lip3,Unknown,,1
ArvinKing77,Unknown,,1
AsesinoBlade,Unknown,,1
AshecOne,Unknown,,1
AthiraSreejith25,Unknown,,1
Atlaszyw,Unknown,,1
Awei1729,Unknown,,1
BHold-MJ,Unknown,,1
BJ4K3,Unknown,,2
BTruer,Unknown,,1
BZBY,Unknown,,1
Bakhtiyar-Garashov,Unknown,,3
Banguiskode,Human,0.747,6
BaptisteCbl,Unknown,,1
Barahlush,Unknown,,1
Barbiedream17,Unknown,,1
Bardreamaster,Unknown,,2
BeamDC,Unknown,,1
Beslan09,Human,0.526,8
Bi9River,Unknown,,1
BillDo,Unknown,,2
Bimfo,Unknown,,1
BinarySyntax,Unknown,,1
BioTurboNick,Human,0.828,300
BlaDeKe,Unknown,,1
BlazionYou,Bot,0.08,5
BlueSharkPartners,Unknown,,4
Bobyyy70,Human,0.62,6
Bondrake,Unknown,,1
BradleyTesting,Unknown,,2
BranmericanExpress,Unknown,,1
BrennonTWilliams,Unknown,,2
Bricks820,Unknown,,2
BrieucLD,Unknown,,1
Brinkhuis,Unknown,,2
BrownsugarZeer,Unknown,,2
BrunoCiccarino,Human,0.651,5
BrunoGeorgevich,Unknown,,4
Bucephalus01,Unknown,,1
Burkifa23,Unknown,,2
CKocamaz,Unknown,,2
CKylinMC,Unknown,,1
CNOT,Human,0.701,5
COSSAVVU,Unknown,,2
Caffrey-Chen,Human,0.795,5
CaioTomas,Unknown,,1
Caleb1990,Unknown,,2
CameronBieganek,Human,0.916,166
CanftIn,Human,0.747,6
Carl-haijiao,Unknown,,1
Casered,Human,0.608,5
Cbahbp449hingBljqgtdackford,Unknown,,2
CeeArEx,Unknown,,1
CelestialCoder03,Unknown,,2
CfKu,Unknown,,1
ChanMorue,Unknown,,1
CharacterM,Unknown,,1
Charliesj0129,Unknown,,1
Chirag008inf,Unknown,,1
Chris-Fourie,Unknown,,1
ChrisRackauckas,Human,0.465,300
Christoph9211,Unknown,,1
