User,Type_Offline,Confidence_Offline,Events
0Raghu,Unknown,,1
0Shark,Unknown,,1
Areopaguaworkshop,Unknown,,4
ArminDashti,Unknown,,3
Aziuth,Bot,0.405,5
BenDavisson,Unknown,,2
Cadair,Human,0.883,300
CanftIn,Human,0.747,6
ChenPingChen,Unknown,,1
ChrisBSK,Unknown,,2
Colladito,Unknown,,1
CulturesSupports,Unknown,,4
CyclingNinja,Human,0.75,226
DanielTollenaar,Unknown,,2
DhruvR-16,Unknown,,1
EggBert001,Unknown,,2
Elypha,Unknown,,1
GillySpace27,Human,0.627,119
J-D-S-E,Unknown,,3
Jade2290,Unknown,,2
JayHerpin,Unknown,,1
Korriliam,Unknown,,1
KycokOv4arku,Unknown,,1
LecanuetG,Unknown,,1
LiangDengPKU,Human,0.795,5
LiuguangLin0315,Unknown,,1
LustosaKev,Bot,0.015,5
LyndonAlcock,Human,0.627,7
MRegeard,Human,0.958,300
MarcSkovMadsen,Human,0.821,300
MarcoGorelli,Human,0.909,300
MatteoRaso,Human,0.931,300
MatthewK78,Unknown,,2
Mubin17,Human,0.926,82
MuratBedel,Unknown,,1
NWS99,Human,0.028,8
NickShargan,Unknown,,3
PavanMutyla,Unknown,,2
Philliec459,Human,0.466,12
PrateekArya,Human,0.011,6
Prof-pengyin,Unknown,,2
Programming2055,Human,0.902,6
Prtm2110,Human,0.944,195
Rachit23110261,Human,0.8,13
RealTanzie,Unknown,,1
Rryabkov,Unknown,,2
Sauravroy34,Human,0.887,145
Saya47,Unknown,,4
SolarDrew,Human,0.926,73
TrillionXwin,Unknown,,2
Viicos,Unknown,,2
YBeyond,Unknown,,1
YuriyGavrilov,Unknown,,1
ZeyuSun,Unknown,,1
aDNAn-itis,Unknown,,1
aaahza,Unknown,,3
ablazejuk,Unknown,,1
adikte,Unknown,,4
aditya-mathpal,Unknown,,1
advait-zx,Human,0.904,87
ahmadaballahcs,Unknown,,4
ahmedMhassan10,Unknown,,4
ahmvdev,Human,0.648,16
alasdairwilson,Human,0.898,300
anettkaac,Unknown,,1
anzhizecheng,Unknown,,1
aquarhead,Unknown,,1
arroyo-pl,Unknown,,1
asmdhabibullah,Unknown,,1
audiofacto,Unknown,,1
axchcxj,Unknown,,2
ayshih,Human,0.85,300
belohnung,Unknown,,1
bintangyosua,Unknown,,1
bjarthur,Human,0.898,102
bjfar,Human,0.157,9
bjoernellens1,Unknown,,2
blaylockbk,Human,0.949,109
bnavigator,Human,0.938,300
bryant0000,Unknown,,1
bryevdv,Human,0.849,300
celestewallace-cdc,Unknown,,2
codecov[bot],Bot,1.0,300
cvaske,Unknown,,1
daghty,Unknown,,1
danielcocco,Unknown,,1
danieluxury88,Unknown,,1
dbarrous,Unknown,,3
deedee,Unknown,,1
doorlay,Unknown,,1
dpshelio,Human,0.838,33
dslj2017,Unknown,,3
dsreeramya,Unknown,,1
dstansby,Human,0.962,300
epifanio,Human,0.584,23
esdcheliodevops,Human,0.698,5
eselownore,Unknown,,1
exitflynn,Human,0.917,235
gabalafou,Human,0.948,300
gerred,Unknown,,2
github-actions[bot],Bot,1.0,300
github-roushan,Unknown,,1
gredin,Unknown,,3
hayesla,Human,0.908,300
henricryden,Unknown,,4
hmathwig,Unknown,,1
hoxbro,Human,0.93,300
ianthomas23,Human,0.954,300
idimetrix,Human,0.04,21
ignhs,Human,0.512,6
introquest,Unknown,,4
isemennikov,Unknown,,1
javier,Unknown,,2
jbednar,Human,0.951,300
jesanwang,Unknown,,1
jgieseler,Human,0.901,231
jlevy,Unknown,,2
joolstorrentecalo,Bot,0.173,6
jshn9515,Human,0.635,26
justapythonuser,Unknown,,1
jwmosley,Unknown,,3
kartikmandar,Human,0.915,9
keremates54,Unknown,,1
khoroshevskyi,Human,0.89,27
kitoki,Human,0.631,9
kunrey,Unknown,,1
kunzi051,Unknown,,1
kylessmith,Unknown,,3
lemongine,Unknown,,1
levsa,Unknown,,4
luizhslima,Human,0.712,10
lumberbot-app[bot],Bot,1.0,300
makeroftools,Unknown,,1
makutamoto,Unknown,,4
malekifar,Unknown,,2
mattpap,Human,0.896,300
maximlt,Human,0.963,300
mdaguete,Unknown,,1
meeseeksmachine,Bot,0.93,300
minhaz-mishu,Unknown,,4
mkellom,Bot,0.438,6
mljack,Unknown,,2
moclam1905,Unknown,,1
mosc9575,Human,0.934,300
msscaroso,Unknown,,1
mtwilliams,Unknown,,4
mugiseyebrows,Unknown,,2
nabobalis,Human,0.729,300
namurphy,Human,0.948,267
naonao-cola,Unknown,,1
nawedy,Unknown,,2
nohjoono,Unknown,,1
noostale,Unknown,,4
nphuhuy,Unknown,,2
omidgolchin,Unknown,,1
partrita,Human,0.916,11
patrickjwright,Human,0.866,13
pdao1,Human,0.747,6
peekxc,Human,0.819,17
pelaufer,Unknown,,1
pllim,Human,0.85,300
python-foundations-2024,Unknown,,3
raghav20232023,Human,0.04,99
rasulkipkeev,Unknown,,4
reprtomg,Unknown,,1
ricfog,Unknown,,1
richard7714,Unknown,,1
rudrakshnalbalwar,Human,0.897,42
samaloney,Human,0.913,300
sblondon,Human,0.359,5
scipio0bc,Unknown,,1
scwayer,Unknown,,1
seanwhen,Unknown,,1
sebacastroh,Human,0.02,7
slochower,Human,0.906,7
someben,Unknown,,1
specificuniverse,Unknown,,1
studyingis,Unknown,,1
suimohan,Unknown,,3
sumanshusamarora,Unknown,,3
summerclock,Human,0.758,9
sunxiaoxiaou,Unknown,,1
tien-vo,Human,0.822,28
tinegachris,Unknown,,1
tlemo,Unknown,,1
toni-santos,Unknown,,1
tonystark2306,Unknown,,1
twpony,Unknown,,1
userrkh,Human,0.816,10
wafels,Human,0.851,59
willi-kappler,Human,0.802,9
winstxnhdw,Unknown,,2
wmoapl,Bot,0.311,22
wtbarnes,Human,0.824,300
xinnjie,Unknown,,1
zhengdianke,Unknown,,1
zhubby,Unknown,,2
zzlye,Unknown,,1
