User,Type_Offline,Confidence_Offline,Events
0Raghu,Unknown,,1
0Shark,Unknown,,1
Abhinav06052002,Unknown,,3
Afaraster,Unknown,,4
AnshMehta1,Human,0.532,207
Areopaguaworkshop,Unknown,,4
ArminDashti,Unknown,,3
Ayush-Devs,Unknown,,2
Aziuth,Bot,0.405,5
Beliavsky,Human,0.911,128
BenDavisson,Unknown,,2
CanftIn,Human,0.747,6
CasparJungbacker,Unknown,,4
ChenPingChen,Unknown,,1
ChrisBSK,Unknown,,2
ChunkyPanda03,Human,0.097,12
Colladito,Unknown,,1
ConservedCharge,Unknown,,4
CulturesSupports,Unknown,,4
DanielTollenaar,Unknown,,2
EggBert001,Unknown,,2
Elypha,Unknown,,1
Gauss963,Unknown,,1
HarshitaKalani,Human,0.561,300
HarshitaKalani-WBD,Bot,0.073,5
Hezzeki,Unknown,,2
J-D-S-E,Unknown,,3
Jade2290,Unknown,,2
JamesZhanchunyuan,Unknown,,1
JayHerpin,Unknown,,1
JonasKoziorek,Human,0.344,11
Komal0103,Unknown,,2
Korriliam,Unknown,,1
KycokOv4arku,Unknown,,1
Larshavin,Unknown,,1
LecanuetG,Unknown,,1
LiangDengPKU,Human,0.795,5
LinkJam0,Unknown,,2
LiuguangLin0315,Unknown,,1
Liuyaguangzz,Unknown,,1
LustosaKev,Bot,0.015,5
LyndonAlcock,Human,0.627,7
MarcSkovMadsen,Human,0.821,300
MarcoGorelli,Human,0.909,300
MatthewK78,Unknown,,2
MetzgerHund,Unknown,,4
MosGeo,Human,0.932,75
MuratBedel,Unknown,,1
NWS99,Human,0.028,8
NishantBansal2003,Human,0.889,124
Philliec459,Human,0.466,12
PierUgit,Human,0.845,23
Pleiades777,Unknown,,4
Pranavchiku,Human,0.668,300
Pranavchikuwbd,Unknown,,1
PrateekArya,Human,0.011,6
Prof-pengyin,Unknown,,2
Programming2055,Human,0.902,6
RMeli,Human,0.954,300
RealTanzie,Unknown,,1
Rryabkov,Unknown,,2
SalvadorBrandolin,Human,0.304,12
Saya47,Unknown,,4
Sbai7,Unknown,,2
Shad0wRim,Unknown,,2
Shaikh-Ubaid,Human,0.936,300
StillAbeginnerr,Unknown,,1
Thirumalai-Shaktivel,Human,0.729,300
TrillionXwin,Unknown,,2
Vipul-Cariappa,Human,0.916,55
Wu-Kuan-Yee,Unknown,,1
YBeyond,Unknown,,1
YuriyGavrilov,Unknown,,1
ZedThree,Human,0.901,58
Zrief,Unknown,,1
adikte,Unknown,,4
adit4443ya,Human,0.632,135
advikkabra,Human,0.374,100
aelobdog,Unknown,,2
ahmadaballahcs,Unknown,,4
altersabeh,Unknown,,1
anettkaac,Unknown,,1
anutosh491,Human,0.955,300
anzhizecheng,Unknown,,1
aquarhead,Unknown,,1
aradi,Human,0.895,275
arroyo-pl,Unknown,,1
asmdhabibullah,Unknown,,1
assem2002,Human,0.885,300
axchcxj,Unknown,,2
belohnung,Unknown,,1
bintangyosua,Unknown,,1
bjarthur,Human,0.898,102
bjfar,Human,0.157,9
bjoernellens1,Unknown,,2
blaylockbk,Human,0.949,109
bryant0000,Unknown,,1
bryevdv,Human,0.849,300
captainhaddock18,Human,0.949,22
celestewallace-cdc,Unknown,,2
certik,Human,0.679,300
codecov[bot],Bot,1.0,300
cvaske,Unknown,,1
cycledetector,Unknown,,2
czgdp1807,Human,0.924,300
daghty,Unknown,,1
danielcocco,Unknown,,1
danieluxury88,Unknown,,1
davidpfister,Human,0.621,17
deedee,Unknown,,1
dependabot[bot],Bot,1.0,300
doorlay,Unknown,,1
dslj2017,Unknown,,3
dushibaiyu,Unknown,,1
dylon,Human,0.962,229
eckertliam,Unknown,,2
efsalvarenga,Unknown,,1
epifanio,Human,0.584,23
eselownore,Unknown,,1
ettaka,Human,0.446,21
gabalafou,Human,0.948,300
gerred,Unknown,,2
github-actions[bot],Bot,1.0,300
github-roushan,Unknown,,1
gredin,Unknown,,3
gsal,Bot,0.868,10
gxyd,Human,0.773,300
harperjf,Bot,0.891,176
henricryden,Unknown,,4
hkershaw-brown,Unknown,,2
hoxbro,Human,0.93,300
ianthomas23,Human,0.954,300
idimetrix,Human,0.04,21
ignhs,Human,0.512,6
introquest,Unknown,,4
isemennikov,Unknown,,1
ivan-pi,Human,0.938,300
javier,Unknown,,2
jbednar,Human,0.951,300
jesanwang,Unknown,,1
jinangshah21,Human,0.19,268
jjerphan,Human,0.934,300
jlevy,Unknown,,2
joergschultzelutter,Unknown,,1
joolstorrentecalo,Bot,0.173,6
junghans,Human,0.964,300
justapythonuser,Unknown,,1
jwmosley,Unknown,,3
kargl,Human,0.523,90
khoroshevskyi,Human,0.89,27
kinow,Human,0.915,103
kitoki,Human,0.631,9
kmr-srbh,Human,0.559,300
kp992,Human,0.898,300
kunrey,Unknown,,1
kunzi051,Unknown,,1
kvrigor,Unknown,,1
kylessmith,Unknown,,3
l-mh-95,Unknown,,1
lemongine,Unknown,,1
levsa,Unknown,,4
lizhaoguosina,Unknown,,1
luizhslima,Human,0.712,10
makeroftools,Unknown,,1
makutamoto,Unknown,,4
malekifar,Unknown,,2
marcosgambeta,Unknown,,1
markbhasawut,Unknown,,1
mattpap,Human,0.896,300
maximlt,Human,0.963,300
mdaguete,Unknown,,1
milancurcic,Human,0.958,300
minhaz-mishu,Unknown,,4
mkellom,Bot,0.438,6
mljack,Unknown,,2
mo-benjaminevans,Human,0.441,5
moclam1905,Unknown,,1
mohitdhingra22,Human,0.741,29
moriglia,Human,0.876,15
mosc9575,Human,0.934,300
mottelet,Human,0.911,44
msscaroso,Unknown,,1
mtwilliams,Unknown,,4
mugiseyebrows,Unknown,,2
naonao-cola,Unknown,,1
nawedy,Unknown,,2
nedtaylor,Human,0.758,33
nickodell,Human,0.924,220
nikic,Unknown,,2
nohjoono,Unknown,,1
noostale,Unknown,,4
nphuhuy,Unknown,,2
omidgolchin,Unknown,,1
ouankou,Unknown,,4
parth121101,Human,0.438,300
parthlambdatest,Unknown,,1
partrita,Human,0.916,11
patrickjwright,Human,0.866,13
pdao1,Human,0.747,6
peekxc,Human,0.819,17
pelaufer,Unknown,,1
pjh40,Human,0.559,96
prismv,Unknown,,4
python-foundations-2024,Unknown,,3
quepas,Unknown,,2
radesh20,Unknown,,4
rasulkipkeev,Unknown,,4
reprtomg,Unknown,,1
ricfog,Unknown,,1
richard7714,Unknown,,1
rikardn,Human,0.771,59
saguileran,Human,0.692,12
saurabh7307,Unknown,,1
sblondon,Human,0.359,5
scipio0bc,Unknown,,1
scwayer,Unknown,,1
seanwhen,Unknown,,1
sebacastroh,Human,0.02,7
sherlockyzd,Unknown,,1
simisc,Unknown,,1
slochower,Human,0.906,7
soma2000-lang,Human,0.581,300
someben,Unknown,,1
sriganeshres,Unknown,,1
studyingis,Unknown,,1
suimohan,Unknown,,3
sumanshusamarora,Unknown,,3
sumseq,Human,0.795,9
sunxiaoxiaou,Unknown,,1
tanay-man,Human,0.574,38
thoth291,Human,0.915,8
tinegachris,Unknown,,1
tlemo,Unknown,,1
tonystark2306,Unknown,,1
twpony,Unknown,,1
uranix,Human,0.604,5
userrkh,Human,0.816,10
uwydoc,Unknown,,1
veegeebree21,Bot,0.16,20
willi-kappler,Human,0.802,9
winstxnhdw,Unknown,,2
wittler-github,Unknown,,2
xichaoqiang,Bot,0.622,23
xinnjie,Unknown,,1
zhengdianke,Unknown,,1
zhubby,Unknown,,2
zzlye,Unknown,,1
