User,Type_Offline,Confidence_Offline,Events
306026185,Unknown,,1
AaryanMadal,Unknown,,1
Adeonita,Unknown,,1
Afffaa,Human,0.437,5
Akshit222,Unknown,,4
AlexMitsis,Unknown,,2
Andrij339,Unknown,,1
AnnaSyme,Human,0.664,138
BobLamarley,Unknown,,1
BorisYourich,Unknown,,2
Bouatini,Unknown,,1
Bunnie04,Unknown,,1
Cjadebadua117,Unknown,,1
CropGalaxy,Unknown,,3
Csaern,Human,0.332,8
Delphine-L,Human,0.815,300
Edmontosaurus,Human,0.023,14
ElectronicBlueberry,Human,0.677,300
Fe-r-oz,Bot,0.096,8
Fpinillaa,Unknown,,1
GermanHeim,Human,0.774,12
Gesugao-san,Unknown,,3
HaveF,Human,0.721,11
HelloYLee,Unknown,,3
JulStraus,Unknown,,3
JuliaRegistrator,Bot,0.885,300
JuliaTagBot,Bot,0.915,300
KC-Lan,Human,0.747,7
LDeakin,Human,0.955,53
Lain-inrae,Human,0.804,23
MRuzzante,Unknown,,3
Marie59,Human,0.865,300
MaterialsGalaxy,Unknown,,2
MercierEva,Human,0.581,7
Mikehard4u2,Unknown,,1
OliverWoolland,Human,0.679,6
OmarLaham,Unknown,,3
PSulf,Unknown,,3
PlushZ,Human,0.322,173
QuantPaul,Human,0.784,16
RBI-Bioinformatics,Unknown,,3
RamBenitez,Unknown,,1
Randomssss,Unknown,,2
Riperedo,Unknown,,2
Robbybp,Human,0.841,38
RookieRQ,Unknown,,2
Sch-Da,Human,0.823,24
SendPiePlz,Unknown,,4
ShubhamBioIT,Unknown,,1
SinaBerkGolech,Bot,0.12,5
Slushy-seg,Human,0.478,8
Songmg-Nwafu,Unknown,,1
Spaaace-Ghooost,Human,0.801,9
Swathi266,Human,0.717,33
ThatXliner,Human,0.912,8
Tobiaspk,Unknown,,4
ViroFreiburg,Unknown,,1
Y-Srivaishnavi,Unknown,,1
Yin110,Unknown,,1
Younthing,Unknown,,4
ZJY0516,Unknown,,2
abretaud,Human,0.831,300
adammoore552,Unknown,,1
adr-denzel,Human,0.849,11
afgane,Human,0.649,300
ahmedhamidawan,Human,0.699,300
alpapan,Human,0.824,87
andrea-stofko,Unknown,,1
ankitsrivastava637,Unknown,,2
annefou,Human,0.948,300
arash77,Human,0.948,206
araujoms,Human,0.903,300
arbernard,Unknown,,1
arceus3115,Unknown,,1
asa358asa,Unknown,,4
astrovsky01,Human,0.736,162
bai123350,Unknown,,1
bebatut,Human,0.834,300
bernt-matthias,Human,0.762,300
bgruening,Human,0.771,300
blegat,Human,0.855,300
bskubi,Human,0.684,9
bwalkowi,Human,0.673,17
bwlang,Bot,0.188,59
cat-bro,Human,0.675,300
catherine4331,Unknown,,1
christopherLee1,Unknown,,1
civandeniz,Unknown,,1
coco-gene,Unknown,,1
codecov[bot],Bot,1.0,300
codingjenny,Unknown,,1
csamuelsm,Unknown,,1
cuong0993,Unknown,,3
dannon,Human,0.735,300
datejada,Human,0.94,33
davelopez,Human,0.807,300
davidjsherman,Unknown,,2
db-eppei-2018,Unknown,,1
dcelisgarza,Unknown,,2
defaulter-0035,Unknown,,2
dependabot[bot],Bot,1.0,300
dkapt,Bot,0.11,63
dometto,Human,0.825,34
