User,Type_Offline,Confidence_Offline,Events
Abhisek-exe,Unknown,,1
Abhishek-Mishra-GH,Unknown,,1
Abinash-bit,Human,0.882,93
AdamPSU,Unknown,,2
Afffaa,Human,0.437,5
Akash265,Unknown,,4
Akshit222,Unknown,,4
AlexanderGrunewald,Unknown,,3
Andrij339,Unknown,,1
Bunnie04,Unknown,,1
CePowers,Human,0.439,30
DavidGeorge-github,Unknown,,1
DeerWhale,Human,0.771,252
Fe-r-oz,Bot,0.096,8
GermanHeim,Human,0.774,12
Gesugao-san,Unknown,,3
HaveF,Human,0.721,11
Her00000,Unknown,,1
JulStraus,Unknown,,3
JuliaRegistrator,Bot,0.885,300
JuliaTagBot,Bot,0.915,300
KasukabeDefenceForce,Human,0.623,300
Knights-Templars,Human,0.9,300
Lakshchouhan,Unknown,,1
MRuzzante,Unknown,,3
MS-githubaccnt,Unknown,,1
MarkMageeAstro,Bot,0.305,82
NishthaSharma-22,Unknown,,1
QuantPaul,Human,0.784,16
Randomssss,Unknown,,2
Riperedo,Unknown,,2
Robbybp,Human,0.841,38
RookieRQ,Unknown,,2
RyanGroneck,Human,0.128,21
SendPiePlz,Unknown,,4
Spaaace-Ghooost,Human,0.801,9
Sumit112192,Human,0.894,300
Tanuj-rai,Human,0.885,12
ThatXliner,Human,0.912,8
Vatsal212005,Unknown,,1
VectorNd,Human,0.931,14
ZJY0516,Unknown,,2
abunickabhi,Human,0.717,6
adammoore552,Unknown,,1
adr-denzel,Human,0.849,11
andrewfullard,Human,0.847,300
araujoms,Human,0.903,300
atharva-2001,Human,0.785,300
atrayees,Human,0.762,8
blegat,Human,0.855,300
catherine4331,Unknown,,1
codecov[bot],Bot,1.0,300
csamuelsm,Unknown,,1
datejada,Human,0.94,33
db-eppei-2018,Unknown,,1
dcelisgarza,Unknown,,2
dkapt,Bot,0.11,63
dong123-wang,Unknown,,1
enprop,Human,0.58,11
epassaro,Human,0.931,300
ericklima-ca,Unknown,,1
fadihamad94,Bot,0.442,5
flexagoon,Unknown,,2
frjnn,Unknown,,4
gdalle,Human,0.955,300
github-actions[bot],Bot,1.0,300
haansn08,Unknown,,1
hsty7,Unknown,,1
jaladh-singhal,Human,0.934,199
jamesgillanders,Human,0.886,102
janneshb,Unknown,,2
jarriagadat,Human,0.795,5
jbcaillau,Human,0.853,14
jd-foster,Human,0.924,300
jd-lara,Human,0.902,124
joaquimg,Human,0.787,300
juan15377,Unknown,,4
juanjospina,Unknown,,2
jvshields,Human,0.867,300
kands-code,Human,0.296,14
langestefan,Human,0.948,35
llkvini,Human,0.773,7
loghub11,Unknown,,1
lukemiloszewski,Human,0.747,7
m3ai,Unknown,,1
matbesancon,Human,0.947,300
miles246,Unknown,,1
mitchphillipson,Bot,0.104,20
mlubin,Human,0.789,300
my-cengstud,Unknown,,2
n8xm,Human,0.574,9
odow,Human,0.774,300
officialasishkumar,Human,0.943,150
papdim,Unknown,,2
plover0226,Bot,0.52,44
pytsacjofxaBno,Unknown,,3
review-notebook-app[bot],Bot,1.0,300
roryyarr,Unknown,,4
rudrakshnalbalwar,Human,0.897,42
sarthak-dv,Human,0.756,80
sesveti,Unknown,,1
shuohaopolyu,Human,0.76,5
songroom2016,Unknown,,2
sstroemer,Human,0.771,37
takeuchi5512,Unknown,,3
tardis-bot,Bot,0.814,300
tarithj,Unknown,,2
tj-amano,Unknown,,1
trathi05,Human,0.527,12
veegeebree21,Bot,0.16,20
wkerzendorf,Human,0.682,300
wsmoses,Human,0.871,300
wtbarnes,Human,0.824,300
yrbnr7034,Unknown,,1
zelenkastiot,Human,0.598,19
zinccat,Human,0.795,5
zyk1999,Unknown,,1
